"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.12.2025","81,00","81,00","81,00","81,00","2,90K","-0,53%"
"16.12.2025","81,43","81,43","84,00","78,50","4,24K","-2,98%"
"15.12.2025","83,93","83,93","84,19","79,00","4,25K","1,63%"
"12.12.2025","82,58","82,58","84,10","78,00","4,67K","5,98%"
"11.12.2025","77,92","77,92","84,48","77,00","10,35K","-0,78%"
"10.12.2025","78,53","78,53","84,47","78,20","2,21K","-1,89%"
"09.12.2025","80,04","80,04","84,48","80,00","6,19K","-0,36%"
"08.12.2025","80,33","80,33","84,50","79,00","7,09K","-2,26%"
"05.12.2025","82,19","82,19","84,00","81,80","1,19K","-0,24%"
"04.12.2025","82,39","82,39","84,00","81,80","2,97K","0,45%"
"03.12.2025","82,02","82,02","84,00","82,00","38,24K","-0,81%"
"02.12.2025","82,69","82,69","83,10","82,00","0,41K","0,16%"
"01.12.2025","82,56","82,56","85,00","82,00","17,28K","-0,52%"
"28.11.2025","82,99","82,99","84,00","81,80","11,27K","1,24%"
"27.11.2025","81,97","81,97","82,00","81,80","11,04K","0,28%"
"26.11.2025","81,74","81,74","81,99","81,00","16,05K","0,49%"
"25.11.2025","81,34","81,34","81,98","80,02","3,09K","-0,54%"
"24.11.2025","81,78","81,78","81,99","81,66","0,60K","0,26%"
"21.11.2025","81,57","81,57","81,99","80,01","1,71K","1,67%"
"20.11.2025","80,23","80,23","81,95","80,00","4,81K","0,29%"
"19.11.2025","80,00","80,00","80,01","80,00","3,18K","0,00%"
"18.11.2025","80,00","80,00","80,00","80,00","14,36K","0,05%"
"17.11.2025","79,96","79,96","80,00","78,20","3,98K","-0,76%"
"14.11.2025","80,57","80,57","81,95","78,20","8,25K","-0,79%"
"13.11.2025","81,21","81,21","82,00","80,40","1,22K","0,98%"
"12.11.2025","80,42","80,42","81,00","78,20","0,41K","2,03%"
"11.11.2025","78,82","78,82","79,90","78,20","8,69K","-0,23%"
"10.11.2025","79,00","79,00","79,01","79,00","13,30K","-1,68%"
"07.11.2025","80,35","80,35","82,00","79,01","6,27K","-0,94%"
"06.11.2025","81,11","81,11","82,00","79,90","1,25K","0,87%"
"05.11.2025","80,41","80,41","82,00","79,90","0,82K","-0,40%"
"04.11.2025","80,73","80,73","81,00","79,91","1,49K","-0,01%"
"03.11.2025","80,74","80,74","82,00","79,91","2,82K","-1,54%"
"31.10.2025","82,00","82,00","82,00","82,00","0,85K","3,02%"
"30.10.2025","79,60","79,60","79,66","79,00","24,92K","2,00%"
"24.10.2025","78,04","78,04","79,59","78,00","10,97K","0,45%"
"23.10.2025","77,69","77,69","79,59","77,05","11,18K","-0,10%"
"22.10.2025","77,77","77,77","79,58","77,07","4,16K","0,45%"
"21.10.2025","77,42","77,42","79,59","77,07","7,70K","-2,73%"
"17.10.2025","79,59","79,59","79,60","79,50","4,45K","-0,04%"
"16.10.2025","79,62","79,62","79,65","79,60","0,80K","0,48%"
"15.10.2025","79,24","79,24","79,66","78,60","2,02K","-0,51%"
"14.10.2025","79,65","79,65","79,66","79,00","3,14K","0,39%"
"13.10.2025","79,34","79,34","79,66","78,20","6,87K","-0,40%"
"10.10.2025","79,66","79,66","79,66","79,66","10,20K","0,96%"
"09.10.2025","78,90","78,90","79,66","78,50","2,45K","-0,74%"
"08.10.2025","79,49","79,49","79,66","79,00","5,70K","-2,01%"
"07.10.2025","81,12","81,12","83,00","79,61","3,36K","-1,51%"
"06.10.2025","82,36","82,36","83,49","79,60","3,07K","-1,15%"
"03.10.2025","83,32","83,32","85,50","83,00","0,80K","-0,11%"
"02.10.2025","83,41","83,41","86,00","82,00","1,34K","1,78%"
"01.10.2025","81,95","81,95","86,00","81,00","1,76K","0,42%"
"30.09.2025","81,61","81,61","83,00","78,75","43,22K","2,74%"
"29.09.2025","79,43","79,43","79,50","77,05","64,32K","0,05%"
"26.09.2025","79,39","79,39","79,50","77,05","63,94K","-0,14%"
"25.09.2025","79,50","79,50","79,50","79,49","0,49K","-2,09%"
"24.09.2025","81,20","81,20","82,00","80,00","17,14K","1,31%"
"23.09.2025","80,15","80,15","82,00","80,02","1,45K","-0,80%"
"22.09.2025","80,80","80,80","82,00","79,00","3,71K","0,79%"
"19.09.2025","80,17","80,17","81,50","79,50","0,33K","0,84%"
"18.09.2025","79,50","79,50","82,10","79,10","125,96K","-3,51%"
"17.09.2025","82,39","82,39","82,42","82,39","1,60K","5,86%"
"16.09.2025","77,83","77,83","79,00","77,06","8,45K","0,31%"
"15.09.2025","77,59","77,59","78,00","77,05","11,32K","-1,07%"
"12.09.2025","78,43","78,43","82,48","77,80","6,38K","-0,17%"
"11.09.2025","78,56","78,56","79,00","78,48","0,53K","0,03%"
"10.09.2025","78,54","78,54","80,39","78,45","0,64K","0,26%"
"09.09.2025","78,34","78,34","80,39","78,00","2,46K","-1,29%"
"08.09.2025","79,36","79,36","80,39","77,82","1,57K","0,75%"
"05.09.2025","78,77","78,77","80,10","77,80","3,09K","0,63%"
"04.09.2025","78,28","78,28","80,10","77,80","1,02K","0,28%"
"03.09.2025","78,06","78,06","80,00","78,00","12,29K","-0,37%"
"02.09.2025","78,35","78,35","80,00","77,55","2,71K","-2,54%"
"01.09.2025","80,39","80,39","82,95","77,50","4,87K","-2,06%"
"29.08.2025","82,08","82,08","82,93","77,51","7,91K","0,27%"
"28.08.2025","81,86","81,86","82,00","77,49","72,94K","5,65%"
"27.08.2025","77,48","77,48","81,98","77,41","8,23K","0,12%"
"26.08.2025","77,39","77,39","81,00","77,28","7,23K","-1,91%"
"25.08.2025","78,90","78,90","81,48","77,20","3,48K","-3,17%"
"22.08.2025","81,48","81,48","82,00","78,00","0,96K","3,47%"
"21.08.2025","78,75","78,75","82,00","77,50","0,84K","0,25%"
"20.08.2025","78,55","78,55","80,00","77,06","14,71K","-1,16%"
"19.08.2025","79,47","79,47","80,00","79,00","0,91K","1,08%"
"18.08.2025","78,62","78,62","83,00","77,00","11,62K","-5,57%"
"15.08.2025","83,26","83,26","83,44","83,05","0,02K","0,31%"
"14.08.2025","83,00","83,00","83,05","83,00","8,39K","-1,55%"
"13.08.2025","84,31","84,31","84,90","83,00","1,07K","1,37%"
"12.08.2025","83,17","83,17","84,90","83,00","6,51K","-2,01%"
"11.08.2025","84,88","84,88","84,90","84,24","0,42K","0,71%"
"08.08.2025","84,28","84,28","84,50","84,00","2,94K","-0,24%"
"07.08.2025","84,48","84,48","85,00","84,00","1,17K","0,85%"
"05.08.2025","83,77","83,77","85,00","83,00","0,55K","0,85%"
"04.08.2025","83,06","83,06","84,50","83,00","13,67K","-0,26%"
"31.07.2025","83,28","83,28","83,45","83,00","91,96K","1,86%"
"30.07.2025","81,76","81,76","83,00","80,00","1,97M","0,10%"
"29.07.2025","81,68","81,68","82,00","81,25","5,97K","4,04%"
"28.07.2025","78,51","78,51","79,30","77,50","1,74K","-0,19%"
"25.07.2025","78,66","78,66","79,30","77,84","11,87K","1,05%"
"23.07.2025","77,84","77,84","78,91","77,50","25,70K","-1,26%"
"22.07.2025","78,83","78,83","79,30","78,50","6,20K","-0,83%"
"21.07.2025","79,49","79,49","79,49","79,49","0,41K","-0,58%"
"18.07.2025","79,95","79,95","81,00","79,49","4,96K","-0,06%"
"17.07.2025","80,00","80,00","80,00","80,00","0,40K","0,63%"
"16.07.2025","79,50","79,50","79,50","79,50","1,08K","1,00%"
"15.07.2025","78,71","78,71","79,50","78,50","2,46K","-0,74%"
"14.07.2025","79,30","79,30","80,97","78,50","6,21K","0,81%"
"11.07.2025","78,66","78,66","78,75","78,50","0,40K","-0,27%"
"10.07.2025","78,87","78,87","79,00","78,50","10,76K","-3,30%"
"09.07.2025","81,56","81,56","81,63","81,00","1,85K","3,77%"
"08.07.2025","78,60","78,60","81,64","78,50","4,57K","-3,23%"
"07.07.2025","81,22","81,22","81,70","80,00","2,16K","0,02%"
"04.07.2025","81,20","81,20","81,70","81,00","5,46K","0,07%"
"03.07.2025","81,14","81,14","82,00","81,00","3,65K","0,10%"
"02.07.2025","81,06","81,06","82,72","81,00","5,88K","-1,57%"
"01.07.2025","82,35","82,35","83,20","81,00","37,05K","-0,45%"
"30.06.2025","82,72","82,72","83,44","81,00","80,10K","3,37%"
"27.06.2025","80,02","80,02","83,45","78,99","10,28K","1,52%"
"26.06.2025","78,82","78,82","79,75","77,00","85,60K","1,09%"
"25.06.2025","77,97","77,97","78,00","77,00","27,12K","-1,28%"
"24.06.2025","78,98","78,98","79,00","78,00","1,39K","3,78%"
"23.06.2025","76,10","76,10","77,99","75,18","2,46K","0,65%"
"20.06.2025","75,61","75,61","78,98","75,18","2,77K","-1,89%"
"19.06.2025","77,07","77,07","79,49","75,51","1,19K","1,77%"
"18.06.2025","75,73","75,73","77,90","75,18","20,10K","-1,66%"
"17.06.2025","77,01","77,01","78,00","76,80","1,15K","-1,86%"
"16.06.2025","78,47","78,47","79,70","76,71","2,85K","-1,43%"
"13.06.2025","79,61","79,61","79,77","79,45","9,03K","3,98%"
"12.06.2025","76,56","76,56","79,77","75,10","6,91K","-4,02%"
"11.06.2025","79,77","79,77","82,10","75,50","8,26K","-3,51%"
