"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.12.2025","2,580","2,580","2,580","2,580","0,10K","0,00%"
"16.12.2025","2,580","2,540","2,580","2,540","22,60K","0,00%"
"15.12.2025","2,580","2,580","2,580","2,560","11,60K","-0,77%"
"12.12.2025","2,600","2,640","2,640","2,600","11,70K","-2,26%"
"11.12.2025","2,660","2,660","2,660","2,660","0,20K","0,00%"
"09.12.2025","2,660","2,660","2,660","2,640","60,90K","0,00%"
"08.12.2025","2,660","2,700","2,720","2,660","16,80K","-4,32%"
"04.12.2025","2,780","2,780","2,800","2,760","5,90K","-0,71%"
"03.12.2025","2,800","2,700","2,800","2,680","65,80K","2,94%"
"02.12.2025","2,720","2,740","2,800","2,720","38,30K","-2,16%"
"01.12.2025","2,780","2,800","2,800","2,780","10,30K","0,00%"
"27.11.2025","2,780","2,740","2,780","2,740","7,50K","1,46%"
"26.11.2025","2,740","2,740","2,740","2,740","2,70K","-1,44%"
"25.11.2025","2,780","2,760","2,860","2,700","53,30K","-2,80%"
"24.11.2025","2,860","2,860","2,860","2,860","13,10K","2,88%"
"21.11.2025","2,780","2,800","2,800","2,760","10,80K","-2,11%"
"20.11.2025","2,840","2,740","2,840","2,740","4,70K","-0,70%"
"19.11.2025","2,860","2,800","2,860","2,800","149,20K","2,88%"
"18.11.2025","2,780","2,740","2,780","2,700","34,80K","-1,42%"
"17.11.2025","2,820","2,800","2,820","2,800","0,50K","2,92%"
"14.11.2025","2,740","2,800","2,800","2,720","50,20K","-3,52%"
"13.11.2025","2,840","2,840","2,860","2,820","52,80K","0,00%"
"12.11.2025","2,840","2,780","2,840","2,760","37,80K","-1,39%"
"11.11.2025","2,880","2,800","2,880","2,800","0,40K","2,86%"
"10.11.2025","2,800","2,820","2,820","2,800","3,50K","-1,41%"
"07.11.2025","2,840","2,840","2,840","2,840","2,10K","-0,70%"
"06.11.2025","2,860","2,860","2,860","2,840","0,40K","0,70%"
"05.11.2025","2,840","2,860","2,860","2,840","1,10K","-2,07%"
"04.11.2025","2,900","2,820","2,900","2,820","22,30K","2,11%"
"03.11.2025","2,840","2,900","2,900","2,840","13,30K","-2,07%"
"31.10.2025","2,900","2,900","2,900","2,780","104,20K","0,00%"
"30.10.2025","2,900","2,760","2,900","2,760","121,20K","5,07%"
"29.10.2025","2,760","2,760","2,860","2,760","171,30K","-0,72%"
"28.10.2025","2,780","2,760","2,780","2,740","23,70K","-0,71%"
"27.10.2025","2,800","2,800","2,800","2,760","1,90K","-2,10%"
"24.10.2025","2,860","2,800","2,860","2,800","1,20K","1,42%"
"22.10.2025","2,820","2,820","2,820","2,760","38,00K","-2,08%"
"21.10.2025","2,880","2,940","2,940","2,780","23,80K","-1,37%"
"20.10.2025","2,920","2,780","2,940","2,780","113,30K","5,80%"
"17.10.2025","2,760","2,780","2,780","2,740","11,00K","-1,43%"
"16.10.2025","2,800","2,820","2,840","2,760","11,70K","-2,78%"
"15.10.2025","2,880","2,860","2,900","2,860","45,30K","0,70%"
"14.10.2025","2,860","2,800","2,860","2,800","38,90K","0,00%"
"09.10.2025","2,860","2,800","2,920","2,800","133,20K","2,14%"
"08.10.2025","2,800","2,720","2,800","2,620","79,60K","2,19%"
"07.10.2025","2,740","2,740","2,740","2,700","0,50K","0,00%"
"06.10.2025","2,740","2,780","2,780","2,740","1,40K","-1,44%"
"03.10.2025","2,780","2,760","2,800","2,760","83,50K","0,72%"
"02.10.2025","2,760","2,720","2,780","2,700","47,50K","1,47%"
"01.10.2025","2,720","2,620","2,780","2,620","70,90K","0,74%"
"30.09.2025","2,700","2,700","2,700","2,700","0,10K","-0,74%"
"29.09.2025","2,720","2,640","2,720","2,560","80,00K","0,74%"
"26.09.2025","2,700","2,700","2,700","2,700","0,20K","0,00%"
"25.09.2025","2,700","2,640","2,720","2,640","92,70K","2,27%"
"24.09.2025","2,640","2,640","2,660","2,640","40,60K","0,00%"
"23.09.2025","2,640","2,580","2,640","2,580","41,00K","2,33%"
"22.09.2025","2,580","2,660","2,660","2,580","13,40K","-1,53%"
"19.09.2025","2,620","2,600","2,720","2,600","106,50K","0,00%"
"18.09.2025","2,620","2,620","2,660","2,600","165,70K","0,00%"
"17.09.2025","2,620","2,580","2,620","2,580","26,90K","0,00%"
"16.09.2025","2,620","2,620","2,620","2,560","74,40K","0,00%"
"15.09.2025","2,620","2,520","2,620","2,520","80,30K","3,97%"
"12.09.2025","2,520","2,540","2,540","2,480","29,30K","0,00%"
"10.09.2025","2,520","2,540","2,540","2,520","1,70K","-0,79%"
"09.09.2025","2,540","2,540","2,540","2,440","12,30K","0,79%"
"08.09.2025","2,520","2,520","2,560","2,460","10,50K","-0,79%"
"05.09.2025","2,540","2,540","2,540","2,540","1,10K","0,00%"
"04.09.2025","2,540","2,560","2,560","2,460","17,20K","0,00%"
"03.09.2025","2,540","2,540","2,540","2,520","1,70K","0,00%"
"02.09.2025","2,540","2,500","2,540","2,500","1,70K","0,00%"
"01.09.2025","2,540","2,500","2,540","2,500","3,60K","0,79%"
"29.08.2025","2,520","2,460","2,520","2,440","3,80K","2,44%"
"28.08.2025","2,460","2,440","2,460","2,400","6,50K","0,00%"
"27.08.2025","2,460","2,460","2,460","2,420","52,10K","0,00%"
"26.08.2025","2,460","2,480","2,480","2,460","13,30K","-1,60%"
"25.08.2025","2,500","2,500","2,500","2,460","11,90K","0,00%"
"22.08.2025","2,500","2,500","2,500","2,480","32,40K","-1,57%"
"21.08.2025","2,540","2,520","2,540","2,500","198,90K","0,00%"
"20.08.2025","2,540","2,540","2,540","2,520","164,10K","0,79%"
"19.08.2025","2,520","2,540","2,540","2,480","38,10K","-0,79%"
"18.08.2025","2,540","2,540","2,540","2,480","12,80K","-0,78%"
"15.08.2025","2,560","2,560","2,560","2,560","0,30K","0,00%"
"14.08.2025","2,560","2,560","2,560","2,540","0,90K","-1,54%"
"13.08.2025","2,600","2,540","2,600","2,520","280,60K","2,36%"
"08.08.2025","2,540","2,540","2,540","2,500","28,10K","0,00%"
"07.08.2025","2,540","2,540","2,560","2,500","70,20K","-1,55%"
"06.08.2025","2,580","2,600","2,600","2,540","101,40K","-1,53%"
"05.08.2025","2,620","2,580","2,620","2,540","251,50K","0,77%"
"04.08.2025","2,600","2,600","2,600","2,520","179,40K","0,00%"
"01.08.2025","2,600","2,580","2,600","2,580","10,40K","0,00%"
"31.07.2025","2,600","2,580","2,600","2,540","215,40K","-1,52%"
"30.07.2025","2,640","2,640","2,640","2,640","0,10K","0,76%"
"29.07.2025","2,620","2,620","2,660","2,620","71,80K","0,77%"
"25.07.2025","2,600","2,600","2,600","2,600","0,10K","0,78%"
"24.07.2025","2,580","2,640","2,640","2,540","5,90K","-3,01%"
"23.07.2025","2,660","2,580","2,680","2,580","87,10K","2,31%"
"22.07.2025","2,600","2,640","2,640","2,560","36,00K","-1,52%"
"21.07.2025","2,640","2,680","2,680","2,580","41,90K","-2,22%"
"18.07.2025","2,700","2,640","2,720","2,640","164,40K","2,27%"
"17.07.2025","2,640","2,620","2,640","2,620","3,90K","0,76%"
"16.07.2025","2,620","2,600","2,620","2,560","16,40K","0,00%"
"15.07.2025","2,620","2,640","2,640","2,600","34,10K","-0,76%"
"14.07.2025","2,640","2,540","2,640","2,540","2,20K","0,76%"
"11.07.2025","2,620","2,600","2,620","2,600","1,60K","0,00%"
"09.07.2025","2,620","2,600","2,620","2,600","10,50K","0,77%"
"08.07.2025","2,600","2,580","2,600","2,580","0,90K","0,00%"
"07.07.2025","2,600","2,600","2,600","2,600","0,20K","-0,76%"
"04.07.2025","2,620","2,600","2,620","2,600","4,20K","0,00%"
"03.07.2025","2,620","2,620","2,620","2,600","0,80K","0,00%"
"02.07.2025","2,620","2,540","2,620","2,540","13,40K","0,00%"
"01.07.2025","2,620","2,540","2,620","2,500","3,90K","-0,76%"
"30.06.2025","2,640","2,640","2,640","2,640","0,60K","0,00%"
"27.06.2025","2,640","2,640","2,640","2,640","11,10K","0,00%"
"26.06.2025","2,640","2,560","2,640","2,520","11,80K","0,00%"
"25.06.2025","2,640","2,540","2,640","2,540","5,70K","0,00%"
"24.06.2025","2,640","2,640","2,640","2,640","0,10K","1,54%"
"23.06.2025","2,600","2,580","2,600","2,560","2,10K","-1,52%"
"20.06.2025","2,640","2,640","2,640","2,640","2,60K","3,13%"
"19.06.2025","2,560","2,620","2,620","2,540","78,30K","-5,19%"
"18.06.2025","2,700","2,540","2,740","2,540","155,30K","6,30%"
"17.06.2025","2,540","2,520","2,540","2,500","46,20K","1,60%"
"16.06.2025","2,500","2,660","2,660","2,500","1,70K","-6,02%"
"13.06.2025","2,660","2,580","2,660","2,580","4,90K","0,76%"
"12.06.2025","2,640","2,600","2,640","2,420","200,60K","0,00%"
"11.06.2025","2,640","2,620","2,660","2,620","0,90K","0,76%"
"10.06.2025","2,620","2,640","2,640","2,600","6,00K","-2,24%"
"09.06.2025","2,680","2,680","2,680","2,680","1,10K","0,00%"
"06.06.2025","2,680","2,600","2,680","2,600","0,80K","0,75%"
"05.06.2025","2,660","2,680","2,680","2,620","28,20K","1,53%"
"04.06.2025","2,620","2,600","2,700","2,600","4,30K","1,55%"
"30.05.2025","2,580","2,700","2,700","2,580","26,90K","-5,15%"
"29.05.2025","2,720","2,680","2,720","2,620","3,70K","0,00%"
"28.05.2025","2,720","2,660","2,720","2,660","2,60K","0,00%"
"27.05.2025","2,720","2,620","2,720","2,600","21,00K","2,26%"
"26.05.2025","2,660","2,640","2,660","2,640","1,90K","-0,75%"
"23.05.2025","2,680","2,660","2,680","2,640","3,40K","0,00%"
"22.05.2025","2,680","2,700","2,700","2,620","20,00K","-0,74%"
"21.05.2025","2,700","2,680","2,700","2,680","13,50K","0,00%"
"20.05.2025","2,700","2,720","2,740","2,640","146,20K","0,75%"
"19.05.2025","2,680","2,720","2,720","2,620","39,40K","-1,47%"
"16.05.2025","2,720","2,720","2,720","2,720","0,40K","0,00%"
"15.05.2025","2,720","2,720","2,720","2,700","11,50K","-2,16%"
"14.05.2025","2,780","2,740","2,780","2,740","95,50K","0,00%"
"13.05.2025","2,780","2,740","2,780","2,720","28,20K","0,72%"
"09.05.2025","2,760","2,760","2,760","2,740","29,20K","0,00%"
"08.05.2025","2,760","2,800","2,800","2,760","1,90K","-1,43%"
"07.05.2025","2,800","2,780","2,800","2,780","2,40K","-0,71%"
"06.05.2025","2,820","2,820","2,820","2,780","13,60K","0,00%"
"02.05.2025","2,820","2,820","2,820","2,800","10,50K","0,00%"
"30.04.2025","2,820","2,740","2,840","2,700","27,90K","-2,08%"
"29.04.2025","2,880","2,860","2,880","2,840","8,70K","0,00%"
"28.04.2025","2,880","2,860","2,880","2,740","32,80K","0,00%"
"25.04.2025","2,880","2,880","2,880","2,860","0,50K","0,00%"
"24.04.2025","2,880","2,880","2,880","2,860","2,30K","0,00%"
"23.04.2025","2,880","2,900","2,920","2,880","15,80K","-0,69%"
"22.04.2025","2,900","2,900","2,900","2,900","1,60K","0,00%"
"21.04.2025","2,900","2,880","2,900","2,880","2,10K","0,00%"
"18.04.2025","2,900","2,720","2,920","2,720","162,50K","6,62%"
"17.04.2025","2,720","2,720","2,720","2,680","3,90K","0,74%"
"16.04.2025","2,700","2,660","2,700","2,660","43,70K","1,50%"
"11.04.2025","2,660","2,660","2,680","2,660","9,80K","-0,75%"
"10.04.2025","2,680","2,720","2,720","2,660","52,60K","-0,74%"
"09.04.2025","2,700","2,680","2,700","2,680","38,60K","0,75%"
"08.04.2025","2,680","2,680","2,680","2,660","1,30K","-2,90%"
"03.04.2025","2,760","2,740","2,760","2,740","6,50K","1,47%"
"02.04.2025","2,720","2,740","2,740","2,720","22,20K","-1,45%"
"01.04.2025","2,760","2,740","2,780","2,700","61,60K","-1,43%"
